username,department,role,event_type,hour,failed_logins_10m,denied_accesses_10m,unique_resources_30m,off_hours,role_mismatch,device_mismatch,recent_password_reset,successful_recovery,department_resource_mismatch,resource_sensitivity,recent_endpoints_used,time_since_last_event_seconds,sequence_pattern,historical_user_deviation,user_baseline_risk,repeated_resource_accesses,resource_traversal_count,label
nathan,it,Senior Systems Administrator,file_access_success,15,0,1,5,0,0,0,0,0,0,1,2,92,repeated_legitimate_access,0.028,0.152,4,2,normal
sam,it,Junior IT Support Technician,file_access_success,13,0,0,2,0,0,0,0,0,0,3,1,1334,repeated_legitimate_access,0.207,0.024,3,1,normal
theo,sales,Junior Sales Executive,file_access_success,15,0,0,4,0,0,0,0,0,0,1,1,753,normal_login_access,0.165,0.129,3,3,normal
callum,it,IT Support Technician,login_success,16,0,0,1,0,0,0,0,0,0,2,1,447,repeated_legitimate_access,0.083,0.178,3,1,normal
charlie,sales,Sales Support Assistant,login_success,15,0,0,4,0,0,0,0,0,0,3,1,676,routine_access,0.187,0.182,0,3,normal
freya,sales,Sales Executive,file_access_success,11,0,0,3,0,0,0,0,0,0,2,1,1663,routine_access,0.08,0.056,1,2,normal
ella,sales,Senior Sales Executive,file_access_success,21,0,0,4,1,0,0,0,0,0,2,1,142,routine_access,0.076,0.126,1,3,normal
sarah,hr,HR Manager,file_access_success,11,0,1,1,0,0,0,0,0,0,2,1,626,routine_access,0.176,0.016,4,1,normal
ruby,sales,Sales Executive,login_success,15,0,0,1,0,0,0,0,0,0,1,2,697,normal_login_access,0.23,0.185,0,2,normal
hannah,it,Security Administrator,file_access_success,11,0,0,1,0,0,0,0,0,0,1,1,603,normal_login_access,0.248,0.142,1,3,normal
noah,finance,Credit Controller,login_success,11,0,0,5,0,0,0,0,0,0,2,1,689,routine_access,0.059,0.03,3,1,normal
hannah,it,Security Administrator,file_access_success,8,0,0,4,0,0,0,0,0,0,3,1,235,routine_access,0.069,0.127,0,2,normal
george,sales,Business Development Executive,file_access_success,14,0,0,5,0,0,0,0,0,0,3,1,1294,normal_login_access,0.161,0.149,0,1,normal
ruby,sales,Sales Executive,file_access_success,18,0,0,2,0,0,0,0,0,0,2,1,189,normal_login_access,0.177,0.076,0,3,normal
adam,it,Senior IT Support Engineer,login_success,9,0,0,1,0,0,0,0,0,0,1,1,657,routine_access,0.188,0.153,4,1,normal
nina,office_admin,Site Administrator,login_success,12,0,0,1,0,0,0,0,0,0,3,1,112,normal_login_access,0.06,0.195,0,3,normal
victoria,office_admin,Office Manager,login_success,9,0,0,3,0,0,0,0,0,0,3,1,1175,routine_access,0.22,0.056,0,3,normal
victoria,office_admin,Office Manager,file_access_success,14,0,0,3,0,0,0,0,0,0,2,1,1665,routine_access,0.019,0.084,0,1,normal
lucas,sales,Sales Manager,login_success,18,0,0,1,0,0,0,0,0,0,1,1,1800,routine_access,0.212,0.088,3,1,normal
chloe,hr,HR Advisor,login_success,15,0,0,3,0,0,0,0,0,0,3,1,1701,repeated_legitimate_access,0.094,0.114,0,3,normal
ethan,hr,HR Advisor,login_success,16,0,0,2,0,0,0,0,0,0,2,1,1521,normal_login_access,0.137,0.146,4,1,normal
lucy,it,Monitoring and Logging Analyst,login_success,10,0,0,1,0,0,0,0,0,0,1,1,1268,normal_login_access,0.195,0.001,2,3,normal
millie,sales,Account Executive,login_success,16,0,0,3,0,0,0,0,0,0,2,2,597,routine_access,0.102,0.098,2,3,normal
ruby,sales,Sales Executive,file_access_success,11,0,0,3,0,0,0,1,1,0,2,1,612,repeated_legitimate_access,0.198,0.124,4,3,normal
harry,hr,People Operations Administrator,file_access_success,14,0,0,1,0,0,0,0,0,0,2,1,1024,normal_login_access,0.225,0.171,4,1,normal
jack,sales,Senior Sales Executive,login_success,12,0,0,4,0,0,0,0,0,0,1,1,1505,repeated_legitimate_access,0.149,0.085,1,1,normal
freya,sales,Sales Executive,login_success,9,0,0,1,0,0,0,0,0,0,2,1,402,repeated_legitimate_access,0.137,0.084,2,1,normal
daisy,sales,Business Development Executive,login_success,10,0,0,2,0,0,0,0,0,0,2,1,490,repeated_legitimate_access,0.16,0.069,0,2,normal
olivia,finance,Financial Reporting Accountant,file_access_success,11,0,0,1,0,0,0,0,0,0,2,1,239,routine_access,0.061,0.046,3,2,normal
daisy,sales,Business Development Executive,login_success,13,0,0,4,0,0,0,0,0,0,1,1,1311,repeated_legitimate_access,0.011,0.137,0,2,normal
erin,it,Identity and Access Administrator,login_success,15,0,0,4,0,0,0,0,0,0,3,1,927,normal_login_access,0.048,0.164,3,3,normal
